HBIM Data Element ID,Data Quality Requirement ID,DQ Dimension ID,Applies to Concept Resource ID,Extract Timestamp
c89ef15a-99dc-4027-9160-09f0ca9e300b,67f36e69-8d2b-420b-9bb1-b267b42bfa11,Validity,1105d517-bdce-4771-ab09-d7a3e2412c93,Fri Feb 19 05:32:15 HKT 2021
c89ef15a-99dc-4027-9160-09f0ca9e300b,c5372d80-a236-4174-93e3-9714179780a5,Conformity,1105d517-bdce-4771-ab09-d7a3e2412c93,Fri Feb 19 05:32:15 HKT 2021
17e611ee-3cf1-462b-835d-6897615cbcc4,2dbf06c5-7ec5-485c-9aef-b57e92f92e07,Accuracy,c2583093-d305-4b3d-ab72-7f448469b276,Fri Feb 19 05:32:15 HKT 2021
17e611ee-3cf1-462b-835d-6897615cbcc4,392f41b7-5c78-4623-83bc-122c26860e92,Completeness,c2583093-d305-4b3d-ab72-7f448469b276,Fri Feb 19 05:32:15 HKT 2021
17e611ee-3cf1-462b-835d-6897615cbcc4,cddd73f3-10eb-4be6-9881-81eb2a220a1d,Conformity,ba1ebb6a-1fc6-4153-9bf5-91790db653df,Fri Feb 19 05:32:15 HKT 2021
17e611ee-3cf1-462b-835d-6897615cbcc4,b0b2c612-5c14-4517-801c-b9ed88bc374a,Conformity,073795f0-01bf-4dee-80bc-e34915c31d44,Fri Feb 19 05:32:15 HKT 2021
6e9d100f-1487-47ff-b6ab-38d45ba8c4b6,1bef4e84-0d81-4fec-b010-9a5ac29c1ce5,Validity,ba1ebb6a-1fc6-4153-9bf5-91790db653df,Fri Feb 19 05:32:15 HKT 2021
6e9d100f-1487-47ff-b6ab-38d45ba8c4b6,b0b2c612-5c14-4517-801c-b9ed88bc374a,Conformity,073795f0-01bf-4dee-80bc-e34915c31d44,Fri Feb 19 05:32:15 HKT 2021
6e9d100f-1487-47ff-b6ab-38d45ba8c4b6,cddd73f3-10eb-4be6-9881-81eb2a220a1d,Conformity,ba1ebb6a-1fc6-4153-9bf5-91790db653df,Fri Feb 19 05:32:15 HKT 2021
6e9d100f-1487-47ff-b6ab-38d45ba8c4b6,0e88fd65-5ff3-48aa-a2e3-57887372f117,Completeness,681e3459-921b-4d1a-bf01-1f2448d333ca,Fri Feb 19 05:32:15 HKT 2021
60958e86-4e66-4d3a-8522-c21e4ef7c14b,3fb7d393-efaa-4982-aa77-e186efee7e69,Validity,6f9c634c-7849-497b-b989-d9404f1e091a,Fri Feb 19 05:32:15 HKT 2021
d3b4f095-4803-4439-bfc0-3da761ca2039,7733116e-b1a9-43ee-80aa-bdb87dad13c9,Accuracy,e8d7149f-1927-4eae-83ca-0c88edfb170f,Fri Feb 19 05:32:15 HKT 2021
d3b4f095-4803-4439-bfc0-3da761ca2039,e9bfc285-c014-4baa-bd1b-28b788dda089,Completeness,e8d7149f-1927-4eae-83ca-0c88edfb170f,Fri Feb 19 05:32:15 HKT 2021
d3b4f095-4803-4439-bfc0-3da761ca2039,19c1733d-7a03-4c45-b846-108085fd0f62,Validity,981835fa-1c63-4e37-b04f-aca04e4aa834,Fri Feb 19 05:32:15 HKT 2021
d3b4f095-4803-4439-bfc0-3da761ca2039,0e84c2c6-e656-4f50-9bb8-c60f67998821,Conformity,981835fa-1c63-4e37-b04f-aca04e4aa834,Fri Feb 19 05:32:15 HKT 2021
4e3d7aca-5b3b-4983-a80a-befe1e5f9026,e17e128a-e448-453b-adee-66aeb6a5e095,Conformity,b471f2f2-8cfb-4e1f-8f84-9055260b465c,Fri Feb 19 05:32:15 HKT 2021
4e3d7aca-5b3b-4983-a80a-befe1e5f9026,f0850199-c7c3-4978-a956-30f7ed578642,Accuracy,5fc9eced-f5f8-46d1-b6f3-af6e48b05abb,Fri Feb 19 05:32:15 HKT 2021
4e3d7aca-5b3b-4983-a80a-befe1e5f9026,2174bcd7-efb5-447c-980f-44e55ae20a7b,Validity,b471f2f2-8cfb-4e1f-8f84-9055260b465c,Fri Feb 19 05:32:15 HKT 2021
4e3d7aca-5b3b-4983-a80a-befe1e5f9026,b3dfcb90-89b3-4398-bcd1-90ab33a163c4,Completeness,5fc9eced-f5f8-46d1-b6f3-af6e48b05abb,Fri Feb 19 05:32:15 HKT 2021
24f4bbd9-90d8-4a23-b9ff-3f5ab5d62a3e,95d4f794-8a6f-4dbc-9c05-210b18046e37,Completeness,d41451d6-0e67-4dd6-9af1-0e8dc5101efa,Fri Feb 19 05:32:15 HKT 2021
24f4bbd9-90d8-4a23-b9ff-3f5ab5d62a3e,a4ed5c13-1d41-4801-86de-03959c3d78a4,Accuracy,d41451d6-0e67-4dd6-9af1-0e8dc5101efa,Fri Feb 19 05:32:15 HKT 2021
24f4bbd9-90d8-4a23-b9ff-3f5ab5d62a3e,3679f655-f350-4441-824d-3d6759492d49,Conformity,d9ad2198-1b2b-4730-a424-ab2eef70efc1,Fri Feb 19 05:32:15 HKT 2021
24f4bbd9-90d8-4a23-b9ff-3f5ab5d62a3e,d713ead1-6b32-473b-8201-9fd3509e0673,Validity,4e5bcdee-1de2-436e-a976-0d84f67494a3,Fri Feb 19 05:32:15 HKT 2021
16dab80f-e9a7-45b5-b27e-061385b58d63,a4b2577c-1a25-4c7a-bdd8-c98677d356e5,Completeness,9edf497e-d41f-4a06-aa1c-3773d8cbd7b5,Fri Feb 19 05:32:15 HKT 2021
16dab80f-e9a7-45b5-b27e-061385b58d63,6c45a9b2-73b1-45be-b776-5ac3b9af0466,Conformity,99bf671d-bbd5-4eb8-86e1-6cd3f13d4bd6,Fri Feb 19 05:32:15 HKT 2021
16dab80f-e9a7-45b5-b27e-061385b58d63,4804b0b8-1ebc-4ef6-904f-ca213e2bbf66,Accuracy,9edf497e-d41f-4a06-aa1c-3773d8cbd7b5,Fri Feb 19 05:32:15 HKT 2021
16dab80f-e9a7-45b5-b27e-061385b58d63,25e1cdb1-48fd-4c08-b2a7-cf4e804c3d73,Validity,99bf671d-bbd5-4eb8-86e1-6cd3f13d4bd6,Fri Feb 19 05:32:15 HKT 2021
6a5e1868-675d-4464-a5ca-a13b371df6fc,aeb94592-2bec-4b5f-b151-0992505a12e4,Validity,318e8160-ef2e-42e5-bc86-d52ab08d6d8d,Fri Feb 19 05:32:15 HKT 2021
6a5e1868-675d-4464-a5ca-a13b371df6fc,92d7d178-af2a-4379-8895-b0b30ddd034e,Completeness,318e8160-ef2e-42e5-bc86-d52ab08d6d8d,Fri Feb 19 05:32:15 HKT 2021
989d7115-de74-411a-ad23-2591dc410310,d8328c17-24c2-4820-ba88-896539fbb13c,Validity,,Fri Feb 19 05:32:15 HKT 2021
989d7115-de74-411a-ad23-2591dc410310,c365f09a-616b-4498-9116-8644e83f9613,Completeness,1877f822-1f2d-4a5e-a76d-8a7930038143,Fri Feb 19 05:32:15 HKT 2021
989d7115-de74-411a-ad23-2591dc410310,2e5ae573-f033-4a7f-9feb-25a8d9761fac,Conformity,00a73a58-a991-4413-9e75-5b3736c21d39,Fri Feb 19 05:32:15 HKT 2021
510300be-17e6-4874-897c-407212dba082,7429de97-2fc8-4751-8474-c9fd273115b5,Validity,beef9cbb-9b71-4bb5-9990-77f0f40d470e,Fri Feb 19 05:32:15 HKT 2021
