de_name,dd_name,dd_l0,dd_l1,dd_l2,dd_l3,domain_path,dqr_published_indicator,dqr_target,dq_name,dq_qr_rule,dq_dimension,dq_target
additional locality name [individual residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__additional locality name [individual residential address],true,0.985,GPB_243556_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
additional locality name [individual residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__additional locality name [individual residential address],true,0.985,GPB_243052_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
additional locality name [individual residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__additional locality name [individual residential address],true,0.985,GPB_540662_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
additional locality name [individual residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__additional locality name [individual residential address],true,0.985,GPB_243585_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
additional locality name [individual residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__additional locality name [individual residential address],true,0.985,GPB_714101_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
accrued interest amount [financial instrument] DUPLICATE,Contract Data,Contract Data,,,,Contract Data____accrued interest amount [financial instrument] DUPLICATE,true,0.985,GPB_237579_CMP001_204baba2-9c72-424b-8f2a-882a9aaff58d,Must not be blank,Completeness,0.95
accrued interest amount [financial instrument] DUPLICATE,Contract Data,Contract Data,,,,Contract Data____accrued interest amount [financial instrument] DUPLICATE,true,0.985,GPB_1218024_CMP001_204baba2-9c72-424b-8f2a-882a9aaff58d,Must not be blank,Completeness,0.95
loan impairment charges and other credit risk provisions amount [global management information reporting aggregate],Portfolio Data,Account Data,Portfolio Data,,,Account Data_Portfolio Data___loan impairment charges and other credit risk provisions amount [global management information reporting aggregate],true,0.975,GPB_1218024_CMP001_208312be-4ccd-44ff-984a-53df01f2fd06,Must not be blank,Completeness,0.95
loan impairment charges and other credit risk provisions amount [global management information reporting aggregate],Portfolio Data,Account Data,Portfolio Data,,,Account Data_Portfolio Data___loan impairment charges and other credit risk provisions amount [global management information reporting aggregate],true,0.975,GPB_237579_CMP001_208312be-4ccd-44ff-984a-53df01f2fd06,Must not be blank,Completeness,0.95
next credit review date [credit facility],Credit Facility Data,Contract Data,Financial Instrument Data,Credit Facility Data,,Contract Data_Financial Instrument Data_Credit Facility Data__next credit review date [credit facility],true,0.975,GPB_1218024_CMP001_21a2a8e3-e22e-4e5e-85cf-a23f4b7672d9,Must not be blank,Completeness,0.95
politically exposed person indicator [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___politically exposed person indicator [individual],true,0.975,GPB_540662_CMP001_2584e361-5d27-4560-b983-5096aa429cf2,Must not be blank,Completeness,0.95
